target,token_normalization,entity_replacement,balance,feature_method,model,accuracy,precision_macro,recall_macro,f1_macro
causality,lemm,True,ada,BOW,"Naive Bayes, Complement",0.9559748427672956,0.9455473098330242,0.9507319819819819,0.9480804217007978
causality,lemm,True,ada,BOW,Random Forest,0.9119496855345912,0.8900970524802301,0.9073761261261262,0.8978899082568808
causality,lemm,True,ada,BOW,Support Vector Machines,0.8930817610062893,0.8717996289424861,0.8761261261261262,0.8739095955590801
causality,lemm,False,none,Doc2Vec,Logistic Regression,0.7358490566037735,0.681910569105691,0.6511824324324325,0.6602564102564104
causality,lemm,False,none,Doc2Vec,Random Forest,0.7735849056603774,0.756362058993638,0.6663851351351351,0.682986264953478
causality,lemm,False,none,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,lemm,False,none,BOW,Logistic Regression,0.9245283018867925,0.9197628458498024,0.8986486486486487,0.9082339361292805
causality,lemm,False,none,BOW,"Naive Bayes, Multinomial",0.9056603773584906,0.893859649122807,0.879222972972973,0.886021505376344
causality,lemm,False,none,BOW,"Naive Bayes, Complement",0.89937106918239,0.8806306306306306,0.8806306306306306,0.8806306306306306
causality,lemm,False,none,BOW,Random Forest,0.9056603773584906,0.9404761904761905,0.84375,0.8757618377871542
causality,lemm,False,none,BOW,Support Vector Machines,0.9308176100628931,0.9306335204490778,0.9031531531531531,0.9153313646705716
causality,lemm,False,smote,Doc2Vec,Logistic Regression,0.7358490566037735,0.681910569105691,0.6511824324324325,0.6602564102564104
causality,lemm,False,smote,Doc2Vec,Random Forest,0.7735849056603774,0.756362058993638,0.6663851351351351,0.682986264953478
causality,lemm,False,smote,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,lemm,False,smote,BOW,Logistic Regression,0.8867924528301887,0.8595083646295664,0.8952702702702702,0.8726415094339622
causality,lemm,False,smote,BOW,"Naive Bayes, Multinomial",0.8930817610062893,0.8695533769063182,0.8820382882882882,0.8753286287532864
causality,lemm,False,smote,BOW,"Naive Bayes, Complement",0.8930817610062893,0.8695533769063182,0.8820382882882882,0.8753286287532864
causality,lemm,False,smote,BOW,Random Forest,0.8679245283018868,0.8415178571428572,0.8876689189189189,0.8546807677242461
causality,lemm,False,smote,BOW,Support Vector Machines,0.89937106918239,0.8734396671289875,0.9042792792792793,0.8856937455068297
causality,lemm,False,ada,Doc2Vec,Logistic Regression,0.7358490566037735,0.681910569105691,0.6511824324324325,0.6602564102564104
causality,lemm,False,ada,Doc2Vec,Random Forest,0.7735849056603774,0.756362058993638,0.6663851351351351,0.682986264953478
causality,lemm,False,ada,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,lemm,False,ada,BOW,Logistic Regression,0.8867924528301887,0.8595083646295664,0.8952702702702702,0.8726415094339622
causality,lemm,False,ada,BOW,"Naive Bayes, Multinomial",0.8930817610062893,0.8695533769063182,0.8820382882882882,0.8753286287532864
causality,lemm,False,ada,BOW,"Naive Bayes, Complement",0.8930817610062893,0.8695533769063182,0.8820382882882882,0.8753286287532864
causality,lemm,False,ada,BOW,Random Forest,0.8616352201257862,0.8342201529763884,0.8772522522522522,0.8471153846153846
causality,lemm,False,ada,BOW,Support Vector Machines,0.8930817610062893,0.8663570691434468,0.8997747747747747,0.8791415157612341
causality,stem,True,none,Doc2Vec,Logistic Regression,0.779874213836478,0.7393744987971131,0.7240990990990992,0.7305997966790919
causality,stem,True,none,Doc2Vec,Random Forest,0.8238993710691824,0.8369683751363141,0.7319819819819819,0.7579382340147891
causality,stem,True,none,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,stem,True,none,BOW,Logistic Regression,0.949685534591195,0.9581807081807081,0.9225788288288288,0.9380116959064329
causality,stem,True,none,BOW,"Naive Bayes, Multinomial",0.9685534591194969,0.9713450292397661,0.9538288288288288,0.9620071684587814
causality,stem,True,none,BOW,"Naive Bayes, Complement",0.9622641509433962,0.9605617545209696,0.9493243243243243,0.9546922492401215
causality,stem,True,none,BOW,Random Forest,0.9245283018867925,0.9413875598086124,0.8809121621621622,0.9043704891740176
causality,stem,True,none,BOW,Support Vector Machines,0.949685534591195,0.9581807081807081,0.9225788288288288,0.9380116959064329
causality,stem,True,smote,Doc2Vec,Logistic Regression,0.779874213836478,0.7393744987971131,0.7240990990990992,0.7305997966790919
causality,stem,True,smote,Doc2Vec,Random Forest,0.8238993710691824,0.8369683751363141,0.7319819819819819,0.7579382340147891
causality,stem,True,smote,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,stem,True,smote,BOW,Logistic Regression,0.89937106918239,0.8778899082568807,0.8865427927927928,0.882003710575139
causality,stem,True,smote,BOW,"Naive Bayes, Multinomial",0.9685534591194969,0.9602968460111317,0.9656531531531531,0.9629145869291413
causality,stem,True,smote,BOW,"Naive Bayes, Complement",0.9685534591194969,0.9602968460111317,0.9656531531531531,0.9629145869291413
causality,stem,True,smote,BOW,Random Forest,0.9182389937106918,0.9012987012987013,0.9059684684684685,0.903577926015767
causality,stem,True,smote,BOW,Support Vector Machines,0.89937106918239,0.8778899082568807,0.8865427927927928,0.882003710575139
causality,stem,True,ada,Doc2Vec,Logistic Regression,0.779874213836478,0.7393744987971131,0.7240990990990992,0.7305997966790919
causality,stem,True,ada,Doc2Vec,Random Forest,0.8238993710691824,0.8369683751363141,0.7319819819819819,0.7579382340147891
causality,stem,True,ada,Doc2Vec,Support Vector Machines,0.6981132075471698,0.3490566037735849,0.5,0.4111111111111111
causality,stem,True,ada,BOW,Logistic Regression,0.8867924528301887,0.8615204888569374,0.8775337837837838,0.8687155963302753
causality,stem,True,ada,BOW,"Naive Bayes, Multinomial",0.9685534591194969,0.9602968460111317,0.9656531531531531,0.9629145869291413
causality,stem,True,ada,BOW,"Naive Bayes, Complement",0.9685534591194969,0.9602968460111317,0.9656531531531531,0.9629145869291413
causality,stem,True,ada,BOW,Random Forest,0.9119496855345912,0.8900970524802301,0.9073761261261262,0.8978899082568808
causality,stem,True,ada,BOW,Support Vector Machines,0.8867924528301887,0.8615204888569374,0.8775337837837838,0.8687155963302753
causality,stem,False,none,Doc2Vec,Logistic Regression,0.7547169811320755,0.7076923076923077,0.6824324324324325,0.6914464845499328
causality,stem,False,none,Doc2Vec,Random Forest,0.7484276729559748,0.7369976359338062,0.6128941441441441,0.6176046176046176
causality,stem,False,none,Doc2Vec,Support Vector Machines,0.7044025157232704,0.8512658227848101,0.5104166666666666,0.4330475684697671
causality,stem,False,none,BOW,Logistic Regression,0.9371069182389937,0.9354743083003952,0.9135698198198199,0.9235282801077337
