embedding,stop_words,lemmatization,hidden_dim_1,hidden_dim_2,lstm_stack,dropout,dropout_rate,sample_weights,trainable,accuracy,precision_0,precision_1,precision_2,precision_macro,recall_0,recall_1,recall_2,recall_macro,f1_0,f1_1,f1_2,f1_macro
glove,False,False,32,32,True,True,0.1,False,True,0.9660869565217391,0.9886847905951506,0.858877086494689,0.8242320819112628,0.8905979863337009,0.9783335756870728,0.9041533546325878,0.8829981718464351,0.9218283673886986,0.9834819470837597,0.8809338521400778,0.852603706972639,0.9056731687321588
glove,False,False,32,64,True,True,0.1,False,True,0.9681987577639751,0.9798212741424042,0.9030612244897959,0.8874045801526718,0.9234290262616239,0.9885124327468373,0.8482428115015974,0.850091407678245,0.8956155506422266,0.9841476655808904,0.8747940691927513,0.8683473389355743,0.909096357903072
glove,False,False,32,128,True,True,0.1,False,True,0.9693167701863354,0.9870091957378485,0.8867313915857605,0.8485370051635112,0.9074258641623735,0.9832775919732442,0.8753993610223643,0.9012797074954296,0.9199855534970127,0.9851398601398602,0.8810289389067525,0.874113475177305,0.913427424741306
glove,False,False,32,256,True,True,0.1,False,True,0.9699378881987578,0.9836350470673425,0.8990066225165563,0.8743068391866913,0.9189828362568634,0.9876399592845717,0.8674121405750799,0.8647166361974405,0.9065895786856973,0.9856334349151067,0.8829268292682927,0.8694852941176471,0.9126818527670154
glove,False,False,64,32,True,True,0.1,False,True,0.9678260869565217,0.9832970225127088,0.8993399339933993,0.851520572450805,0.9113858429856377,0.9844408899229316,0.8706070287539937,0.870201096892139,0.9084163385230214,0.9838686237465484,0.8847402597402597,0.8607594936708861,0.9097894590525648
glove,False,False,64,64,True,True,0.1,False,True,0.9701863354037267,0.9834854411125598,0.8921568627450981,0.8878504672897196,0.9211642570491257,0.987203722553439,0.8722044728434505,0.8683729433272395,0.9092603795747096,0.9853410740203193,0.8820678513731827,0.878003696857671,0.9151375407503911
glove,False,False,64,128,True,True,0.1,False,True,0.9650931677018634,0.9862633347946806,0.9001692047377327,0.7922077922077922,0.8928801105800686,0.9813872328050022,0.8498402555910544,0.8921389396709324,0.907788809355663,0.9838192419825073,0.8742810188989318,0.8392089423903698,0.8991030677572697
glove,False,False,64,256,True,True,0.1,False,True,0.9722981366459628,0.9829504406877619,0.9168053244592346,0.8958333333333334,0.9318630328267766,0.9892394939653919,0.8801916932907349,0.8647166361974405,0.9113826078178557,0.9860849398463546,0.8981255093724532,0.88,0.921403483072936
glove,False,False,128,32,True,True,0.1,False,True,0.9718012422360248,0.9839618552232337,0.9192439862542955,0.8738574040219378,0.9256877484998224,0.9902573796713683,0.854632587859425,0.8738574040219378,0.9062491238509104,0.9870995796492245,0.8857615894039734,0.8738574040219378,0.9155728576917119
glove,False,False,128,64,True,True,0.1,False,True,0.9674534161490683,0.9824967452625488,0.8747993579454254,0.877431906614786,0.9115760032742534,0.9876399592845717,0.8706070287539937,0.8244972577696527,0.8942480819360727,0.9850616388687454,0.8726981585268214,0.8501413760603205,0.9026337244852959
glove,False,False,128,128,True,True,0.1,False,True,0.9699378881987578,0.9818391467281637,0.9033898305084745,0.8869731800766284,0.9240673857710889,0.9905482041587902,0.8514376996805112,0.8464351005484461,0.8961403347959158,0.9861744480636988,0.8766447368421053,0.8662301216089803,0.9096831021715946
glove,False,False,128,256,True,True,0.1,False,True,0.9693167701863354,0.9842006087838817,0.9134125636672326,0.8451957295373665,0.9142696339961603,0.9873491347971499,0.8594249201277955,0.8683729433272395,0.9050489994173949,0.9857723577235772,0.88559670781893,0.8566275924256086,0.9093322193227052
glove,False,False,256,32,True,True,0.1,False,True,0.973167701863354,0.9821428571428571,0.934931506849315,0.896551724137931,0.9378753627100345,0.9917115021084776,0.8722044728434505,0.8555758683729433,0.9064972811082904,0.9869039866869257,0.9024793388429753,0.8755846585594013,0.921655994696434
