embedding,stop_words,lemmatization,hidden_dim,lstm_stack,dropout,sample_weights,trainable,accuracy,precision_0,precision_1,precision_2,precision_macro,recall_0,recall_1,recall_2,recall_macro,f1_0,f1_1,f1_2,f1_macro
text_vectorization,False,True,32,True,True,True,True,0.9424844720496894,0.9812192577135191,0.7630057803468208,0.7334360554699538,0.8258870311767645,0.9572488003489894,0.8434504792332268,0.870201096892139,0.8903001254914518,0.9690858236419845,0.8012139605462821,0.7959866220735787,0.8554288020872818
text_vectorization,False,True,32,True,True,True,False,0.9426086956521739,0.9857121371634833,0.760387811634349,0.7142857142857143,0.8201285543611823,0.9530318452813727,0.8769968051118211,0.886654478976234,0.9055610431231426,0.9690965547833803,0.814540059347181,0.7911908646003262,0.8582758262436291
text_vectorization,False,True,32,True,True,False,True,0.2914285714285714,0.8881789137380192,0.08265856950067477,0.8366247755834829,0.6024874196073923,0.20212301875817945,0.7827476038338658,0.8519195612431444,0.6122633946117298,0.3293058516939114,0.14952700640830027,0.8442028985507245,0.44101191888431207
text_vectorization,False,True,32,True,True,False,False,0.28993788819875776,0.8705302096177558,0.07819139894611593,0.8477064220183487,0.5988093435274068,0.2053220881198197,0.7348242811501597,0.8446069469835467,0.5949177720845087,0.3322743852217908,0.1413427561837456,0.8461538461538463,0.4399236625197942
text_vectorization,False,True,32,False,True,True,True,0.9521739130434783,0.9812960235640648,0.8704663212435233,0.7312775330396476,0.8610132926157452,0.968881779845863,0.805111821086262,0.9104204753199269,0.8948046920840173,0.9750493890392916,0.8365145228215767,0.8110749185667753,0.8742129434758811
text_vectorization,False,True,32,False,True,True,False,0.9525465838509317,0.9813097866077999,0.8159126365054602,0.7768729641693811,0.8580317957608804,0.9696088410644176,0.8354632587859425,0.8720292504570384,0.8923671167691328,0.9754242246928028,0.8255722178374113,0.8217054263565892,0.8742339562956011
text_vectorization,False,True,32,False,True,False,True,0.29440993788819875,0.9073711676451403,0.8769497400346621,0.07962962962962963,0.6213168457698107,0.20226843100189035,0.8083067092651757,0.8647166361974405,0.6250972588215021,0.33079667063020207,0.8412302576891106,0.14583012178202562,0.4392856833671128
text_vectorization,False,True,32,False,True,False,False,0.2965217391304348,0.9021249195106246,0.08624747814391392,0.8615664845173042,0.6166462940572809,0.20372255343899956,0.8194888178913738,0.8647166361974405,0.6293093358426046,0.3323843416370107,0.15606936416184974,0.8631386861313869,0.45053079731008244
text_vectorization,False,False,32,True,True,True,True,0.9222360248447204,0.9856724695732553,0.6247216035634744,0.7034795763993948,0.7712912165120415,0.930347535262469,0.8961661341853036,0.850091407678245,0.8922016923753392,0.957211250748055,0.7362204724409449,0.7698675496688742,0.8210997576192914
text_vectorization,False,False,32,True,True,True,False,0.9334161490683229,0.9829330916779943,0.7329700272479565,0.6733812949640288,0.7964281379633266,0.9463428820706703,0.8594249201277955,0.8555758683729433,0.8871145568571364,0.9642910060749741,0.7911764705882353,0.7536231884057971,0.8363635550230022
text_vectorization,False,False,32,True,True,False,True,0.2960248447204969,0.8992944194996793,0.08590197069226882,0.8501805054151624,0.6117922985357035,0.20386796568271048,0.8146964856230032,0.8610603290676416,0.6265415934577852,0.3323850165955429,0.15541673015389304,0.8555858310626703,0.4477958592707021
text_vectorization,False,False,32,True,True,False,False,0.2919254658385093,0.8985035783994795,0.08390901432181971,0.8148788927335641,0.5990971618182878,0.20081430856478116,0.7955271565495208,0.8610603290676416,0.6191339313939812,0.3282624197765629,0.1518061271147691,0.8373333333333334,0.4391339600748885
text_vectorization,False,False,32,False,True,True,True,0.955527950310559,0.9879625501560411,0.8071428571428572,0.7713365539452496,0.8554806537480492,0.9667005961901992,0.902555910543131,0.8756855575868373,0.9149806881067225,0.9772159341466999,0.852187028657617,0.8202054794520547,0.8832028140854572
text_vectorization,False,False,32,False,True,True,False,0.9503105590062112,0.9881877990430622,0.7827298050139275,0.7437888198757764,0.8382354746442554,0.9610295186854734,0.8977635782747604,0.8756855575868373,0.9114928848490237,0.9744194618503502,0.8363095238095237,0.8043660789252728,0.8716983548617155
text_vectorization,False,False,32,False,True,False,True,0.29527950310559004,0.9143994691439947,0.0903182802866189,0.8431734317343174,0.615963727054977,0.2003780718336484,0.865814696485623,0.8354661791590493,0.6338863158261069,0.32872137404580154,0.1635732609023691,0.8393021120293848,0.44386558232585177
text_vectorization,False,False,32,False,True,False,False,0.2963975155279503,0.925503355704698,0.8630573248407644,0.07838840188806473,0.6223163608111757,0.20052348407735932,0.865814696485623,0.850091407678245,0.6388098627470757,0.3296283016612884,0.8644338118022329,0.1435406698564593,0.44586759443999363
text_vectorization,False,True,64,True,True,True,True,0.9472049689440993,0.9813360983557992,0.8388157894736842,0.7091172214182344,0.8430897030825726,0.963356114584848,0.8146964856230032,0.8957952468007313,0.8912826156695276,0.9722629879659525,0.8265802269043762,0.7915993537964459,0.8634808562222581
text_vectorization,False,True,64,True,True,True,False,0.9419875776397516,0.981199641897941,0.7865853658536586,0.7095375722543352,0.8257741933353117,0.9562309146430129,0.8242811501597445,0.8976234003656307,0.892711821722796,0.9685543854481184,0.8049921996879876,0.7925746569814366,0.8553737473725143
text_vectorization,False,True,64,True,True,False,True,0.29130434782608694,0.8831003811944091,0.08221959059380815,0.8300884955752212,0.5984694891211462,0.20212301875817945,0.7763578274760383,0.8574040219378428,0.6119616227240202,0.3289551532363034,0.14869206057824688,0.8435251798561151,0.4403907978902218
text_vectorization,False,True,64,True,True,False,False,0.2896894409937888,0.8780641106222502,0.07876421660159566,0.829225352112676,0.5953512264455073,0.2031409044641559,0.7412140575079872,0.8610603290676416,0.6018050970132616,0.32994803967879077,0.1423968083473991,0.8448430493273541,0.4390626324511813
text_vectorization,False,True,64,False,True,True,True,0.9520496894409938,0.9849134743381157,0.8217054263565892,0.7375776397515528,0.8480655134820859,0.9683001308710193,0.8466453674121406,0.8683729433272395,0.8944394805367998,0.9765361489954538,0.8339889850511408,0.7976490344248529,0.8693913894904824
